item_id,category_id,brand_id,product_name,price_tier,price_rmb,recipient,why_popular_or_note
I001,C01,B061,Muji 香水(柚子/茉莉)30ml,T1,150,通用,日系清新 学生/同事安全
I002,C01,,Zara EDP系列 100ml,T1,180,女,平价香水 包装精致
I003,C01,B025,MMM Replica Jazz Club 10ml试管,T1,200,男,场景化香水 入门体验
I004,C01,B023,Diptyque 杜桑/影中之水 7.5ml,T2,380,女,法式小众 mini适合首送
I005,C01,B037,观夏 昆仑煮雪 EDP 50ml,T2,598,女/中性,东方香 国货高级感
I006,C01,B025,MMM Replica 慵懒周末/壁炉边 30ml,T2,790,通用,叙事性香水 文艺青年爱
I007,C01,B011,Bvlgari 大吉岭茶 25ml,T2,450,男/中性,清新茶香 男女通吃
I008,C01,B004,Dior 迪奥真我/旷野 50ml,T3,1200,女/男,经典认知度顶级
I009,C01,B002,Chanel 可可小姐 50ml,T3,1450,女,经典优雅 30+女性偏爱
I010,C01,B022,Le Labo Santal 33 EDP 50ml,T3,1980,中性,文艺青年通行证
I011,C01,B024,Byredo Mojave Ghost 50ml,T3,1900,女,小众沙漠玫瑰调
I012,C01,B026,MFK Baccarat Rouge 540 EDP 70ml,T4,2800,女,网红香水的天花板
I013,C01,B018,Tom Ford 黑兰花 100ml,T4,2400,女,Sexy/独立女性
I014,C01,B001,Hermès 大地 100ml,T3,1500,男,商务安全 父辈友好
I015,C01,B026,MFK Baccarat Rouge 540 Extrait 70ml,T4,5800,女,Baccarat顶配 顶级礼物
I016,C02,B061,Muji 香薰蜡烛,T1,120,通用,新人入门 平价
I017,C02,,Voluspa mini蜡烛 13g,T1,180,女,网红ins风 平价小礼
I018,C02,B021,Aesop Aganice 蜡烛 300g,T2,800,通用,Aesop蜡烛少见 高级感强
I019,C02,B023,Diptyque Baies 70g,T2,440,通用,黑加仑+玫瑰 最经典款
I020,C02,B023,Diptyque Figuier 190g,T2,720,通用,无花果香 中性
I021,C02,B025,MMM Replica 壁炉边蜡烛 165g,T2,620,通用,木质温暖 冬季首选
I022,C02,B037,观夏 颐和金桂蜡烛,T2,498,通用,国货文艺
I023,C02,B022,Le Labo Santal 26 245g,T3,1850,通用,香水同款 单价高级
I024,C02,B042,Cire Trudon Ernesto 270g,T3,1500,通用,法国蜡烛鼻祖 古典
I025,C02,B023,Diptyque 三芯蜡烛 600g,T3,1800,通用,客厅大件 视觉感强
I026,C02,B042,Cire Trudon Cyrnos 大号 3kg,T4,5500,通用,豪宅级装饰
I027,C03,B009,MAC子弹头 Ruby Woo,T1,190,女,正红色经典款
I028,C03,,完美日记小细跟,T1,99,女,平价女生宿舍礼
I029,C03,B012,YSL小金条/小银条 N°1/N°2,T2,360,女,送女朋友入门款
I030,C03,B004,Dior 烈艳蓝金 999,T2,390,女,新年红 万年送女友
I031,C03,B018,Tom Ford 子弹头 Casablanca,T2,500,女,高级感 知性女
I032,C03,B002,Chanel 可可小姐唇笔 红管,T2,450,女,大牌入门
I033,C03,B001,Hermès 唇膏 64号Rouge Casaque,T2,690,女,橙包装 仪式感顶级
I034,C03,B001,Hermès 唇膏12色精选套装,T4,8500,女,顶级仪式感礼盒
I035,C04,,The Ordinary 烟酰胺/A醇套装,T1,200,女/男,平价成分党
I036,C04,,凡士林经典润肤膏,T1,30,通用,实用补充礼
I037,C04,B021,Aesop 天竺葵护手霜 75ml,T2,260,女/男,公认最安全小众礼
I038,C04,B078,SK-II 神仙水 75ml,T2,850,女,入门款 适合朋友
I039,C04,B079,La Mer 浓缩修护精华 30ml,T3,1900,女,La Mer入门
I040,C04,B078,SK-II 神仙水 230ml,T3,1850,女,送妈妈/姐姐经典
I041,C04,B080,HR 黑绷带面霜 30ml,T4,3200,女,抗老顶配
I042,C04,B079,La Mer 经典精华面霜 100ml,T4,5500,女,La Mer天花板
I043,C05,B061,Muji 帆布手提袋,T1,99,通用,极简日常 学生
I044,C05,B055,Charles & Keith 半月包,T2,500,女,平价时尚 学生党
I045,C05,B036,Songmont 松鼠包小号,T2,799,女,国产中端 设计感
I046,C05,,Longchamp Le Pliage S,T2,850,女,经典折叠包
I047,C05,B056,Coach Tabby 26,T3,2500,女,回潮经典款 性价比高
I048,C05,B032,Issey Miyake Bao Bao Lucent 6×6,T3,2800,通用,几何包 设计师爱
I049,C05,B035,Polène Numéro Sept,T3,3000,女,小众轻奢
I050,C05,B003,LV Neverfull MM,T4,15500,女,经典通勤 万能款
I051,C05,B015,Loewe Puzzle Mini,T4,18000,女,西班牙工艺顶级
I052,C05,B013,BV Cassette编织包,T4,22000,女,极简无logo 老钱风
I053,C05,B001,Hermès Garden Party 30,T4,22000,女,Hermès入门通勤
I054,C06,B061,Muji 护照夹/卡包,T1,80,通用,实用入门
I055,C06,B055,Charles & Keith 卡包,T1,150,女,
I056,C06,B056,Coach 卡包/钱包入门款,T2,600,通用,品牌入门礼
I057,C06,B036,Songmont 真皮卡包,T2,500,通用,国产质感
I058,C06,B012,Saint Laurent 卡包,T3,2500,通用,带logo的入门YSL
I059,C06,B015,Loewe 卡包/卡夹,T3,2800,通用,
I060,C06,B019,Goyard Saint-Sulpice卡包,T4,5500,通用,低调老钱风入门
I061,C06,B001,Hermès Bearn钱包,T4,12000,女,顶级钱包认知
